License Number,Pet Shop Name,Address
AS22H00052,BUBBLES@Y461 PTE. LTD.,"461, YISHUN AVENUE 6, #01- 11, 760461"
AS22L00070,CATACURE PTE. LTD.,"3, SOUTH BUONA VISTA ROAD, #B1- 60, VIVA VISTA, 118136"
AS17B00013,CATSMART SUPPLY AND DISTRIBUTION PTE. LTD.,"14, JALAN LEBAN, LEVEL 1, SEMBAWANG HILLS ESTATE, 577553"
AS19D00023,CATSMART SUPPLY AND DISTRIBUTION PTE. LTD.,"258, PASIR RIS STREET 21, #02- 02, LOYANG POINT, 510258"
AS21K00066,CATZILLA PTE. LTD.,"68, JALAN JURONG KECHIL, #01- 15, SUITES AT BUKIT TIMAH, 596180"
AS06E01651,CHAI DISCUS FARM,"505, ANG MO KIO AVE 8, #01- 2672, 560505"
AS87M0502,CHUA'S PET TRADING,"151, SERANGOON NORTH AVE 2, #01- 57, 550151"
AS84M0382,CLEMENTI FLORIST & AQUARIUM,"328, CLEMENTI AVE 2, #01- 210, 120328"
AS20A00013,COLLABSPACE PTE. LTD.,"799, NORTH BRIDGE ROAD, LEVEL 1, 198767"
AS22M00009,COLLABSPACE PTE. LTD.,"160, EAST COAST ROAD, LEVEL 1, 428867"
AS20J00040,CORAL FANATICS,"160, CHANGI ROAD, #B1- 04, HEXACUBE, 419728"
AS21D00017,COSY PAWS PET CARE CENTRE,"200, TURF CLUB ROAD, #01- 31, THE GRANDSTAND, 287994"
AS21H00041,COTTON PUPS PRIVATE LIMITED,"114, ANG MO KIO AVENUE 4, #01- 367, KEBUN BARU HEIGHTS, 560114"
AS23C00017,COTTON PUPS PRIVATE LIMITED,"114, ANG MO KIO AVENUE 4, #01- 361, KEBUN BARU HEIGHTS, 560114"
AS07H00045,CRS HAVEN,"477, TAMPINES ST.43, #01- 158A, 520477"
AS20J00037,CUDDLES AND PURRS,"183, JALAN PELIKAT, #01- 93, THE PROMENADE@PELIKAT, 537643"
AS02F1051,D. P. S. FASHION ENTERPRISE,"266, SERANGOON CENTRAL DRIVE, #02- 255, 550266"
AS19K00047,DAILY DOGS,"262, BALESTIER ROAD, #01- 03, OKIO, 329714"
AS19L00054,DAILY DOGS @ BRIGHTON PTE. LTD.,"65, BRIGHTON CRESCENT, LEVEL 1, SERANGOON GARDEN ESTATE, 559211"
AS19K00049,DE AQUATIC PTE. LTD.,"706, GEYLANG ROAD, LEVEL 1, 389621"
AS21L00069,DESIGNER BENGAL SINGAPORE PTE. LTD.,"308, TELOK KURAU ROAD, #01- 14, VIBES @ EAST COAST, 423858"
AS20K00049,DIAMOND WINGS HOLDING PTE. LTD.,"320, TANJONG KATONG ROAD, LEVEL 1, 437101"
AS16E00020,DISCUS PALACE,"154, SERANGOON NORTH AVE 1, #01- 416, 550154"
AS23C00018,DISCUS SG,"183, JALAN PELIKAT, #01- 92, THE PROMENADE@PELIKAT, 537643"
AS09J00027,DOG AVENUE,"1074, SERANGOON ROAD, LEVEL 1, 328179"
AS22G00039,DOGFATHER PTE. LTD.,"160, CHANGI ROAD, #01- 10, HEXACUBE, 419728"
AS16A00005,DOGGIE DELIGHT PTE LTD,"28, GREENWOOD AVE, 289227"
AS13A00004,DOLLHOUSE PETS,"7, KAMPONG BAHRU ROAD, LEVEL 1, 169342"
AS97J0667,DRAGON HOUSE BIRDS & ACCESSORY,"38, TELOK BLANGAH RISE, #01- 341, 90038"
AS23B00010,DREAMPETS,"481, SIMS AVENUE, LEVEL 1, 387553"
AS12J00037,DREAMY PAWS,"324M, CHANGI ROAD, LEVEL 1, 419799"
AS18K00046,E HOBBY PETS AND SUPPLIES,"2, JALAN LOKAM, #01- 39, KENSINGTON SQUARE, 537846"
AS21F00026,E HOBBY PETS AND SUPPLIES,"2, JALAN LOKAM, #01- 30, KENSINGTON SQUARE, 537846"
AS10J00037,EAST OCEAN AQUATIC TRADING CENTRE,"22, HAVELOCK ROAD, #01- 699, 160022"
AS21J00045,EASY AQUARIUM SG,"1, CHANGI VILLAGE ROAD, #01- 2048, 500001"
AS18K00045,EBM TRADING,"333, KRETA AYER ROAD, #02- 25, KRETA AYER HEIGHTS, 80333"
AS20K00056,EDMUND AQUATICS,"537, BEDOK NORTH STREET 3, #01- 565, 460537"
AS21J00048,EMPIRE EXOTIC AROWANA,"1, WEST COAST DRIVE, #01- K15, NEWEST, 128020"
AS19M00004,FEATHERS & FUR @JURONG,"259, JURONG EAST STREET 24, #01- 437, 600259"
AS13G00021,FEATHERS & FUR PETMART,"2, BALESTIER ROAD, #01- 689, BALESTIER HILL SHOPPING CENTRE, 320002"
AS21L00073,FEIMAO ENTERPRISES PTE. LTD.,"337, JOO CHIAT ROAD, LEVEL 1, 427590"
AS07C00015,FISH A PET,"684, HOUGANG AVE 8, #01- 947, 530684"
AS16E00022,FISHY BUSINESS ELEMENTS PTE. LTD.,"96C, JALAN SENANG, #03- 01, 418483"
AS19C00013,FJM TRADING,"117, COMMONWEALTH DRIVE, #01- 727, 140117"
AS22L00066,FLUFFYDOLLS CATFE PTE. LTD.,"555A, BALESTIER ROAD, LEVEL 2, 329871"
AS23C00016,FLY AQUARIUM,"21, CHAI CHEE ROAD, #01-, 432, PING-AN GARDENS, 461021"
AS23E00025,FORELSKET FLUFFS PTE. LTD.,"17B, TEO HONG ROAD, LEVEL 3, 088329"
AS20A00009,FRESH N MARINE PTE. LTD.,"79, UPPER EAST COAST ROAD, LEVEL 1, GOODWILL COURT, 455219"
AS22K00065,FRESH N MARINE PTE. LTD.,"443, ANG MO KIO AVENUE 10, #01-, 1233, 560443"
AS21G00034,FRIENDS FUR LIFE PTE. LTD.,"302, LAVENDER STREET, LEVEL 1, 338811"
AS19J00043,FUR ARTS GROOMING SALON,"537, BEDOK NORTH STREET 3, #01-, 547, 460537"
AS23D00024,FUR FAIRY CAT HOUSE,"427, EAST COAST ROAD, LEVEL 1, 429014"
AS22D00025,FUREVER LOVE PTE. LTD.,"466, MACPHERSON ROAD, LEVEL 1, 368184"
AS87M0503,FWU HAE PET SHOP,"151, SERANGOON NORTH AVE 2, #01-, 61, 550151"
AS22M00006,GALEKSY SG PTE. LTD.,"3, SOUTH BUONA VISTA ROAD, #B1-, 41, VIVA VISTA, 118136"
AS22J00055,GENETIQUE PRIVATE LIMITED,"183, JALAN PELIKAT, #B2-, 21, THE PROMENADE@PELIKAT, 537643"
AS21K00058,GETTABETTASG,"183, JALAN PELIKAT, #01-, 106, THE PROMENADE@PELIKAT, 537643"
AS22F00037,GOLDFISH PALACE,"46, JALAN BUKIT HO SWEE, #01-, 876, THE BEO CRESCENT, 160046"
AS90M0578,GOODWILL BIRDS TRADING,"154, SERANGOON NORTH AVE 1, #01-, 428, 550154"
AS12F00028,GREEN CHAPTER PTE LTD,"565, MACPHERSON ROAD, #01-, 00, 368234"
AS21E00021,GREEN FINGERS AQUARIST PTE. LTD.,"4, SAGO LANE, #02-, 103, KRETA AYER HEIGHTS, 050004"
AS19M00006,HAMSTER HAVEN,"6001, BEACH ROAD, #B1-, 94, GOLDEN MILE TOWER, 199589"
AS09G00018,HAN ZI PET SHOP,"746, BEDOK RESERVOIR ROAD, #01-, 3003, 470746"
AS21M00004,HAPPYPAWS,"93, KOVAN ROAD, #01-, 01, VIBES @ KOVAN, 548178"
AS16F00024,HEISENBERG PET & AQUARIUM CENTRE,"154, SERANGOON NORTH AVE 1, #01-, 418, 550154"
AS19K00052,HELLO HUMAN PTE. LTD.,"270, JOO CHIAT ROAD, LEVEL 1, 427524"
AS16K00037,HONG YANG AQUARIUM N PETS ACCESSORIES,"306, CHOA CHU KANG AVENUE 4, #01-, 681, 680306"
AS07M00007,HOUSE OF CHINCHILLA,"154, SERANGOON NORTH AVE 1, #01-, 406, 550154"
AS22F00036,HOUSE OF DISCUS,"98, YIO CHU KANG ROAD, LEVEL 1, 545575"
AS19L00057,HOUSE OF PUPS SIGNATURE,"155, STILL ROAD, LEVEL 1 AND MEZZANINE, BOON COURT, 423992, *"
AS17L00040,IMPERIAL PET SHOP,"910F, UPPER THOMSON ROAD, LEVEL 1, 787112"
AS23A00007,INU TOWN PLUS PTE. LTD.,"215K, UPPER THOMSON ROAD, LEVEL 1, THOMSON RIDGE, 574349"
AS17L00039,I-PETS,"333, KRETA AYER ROAD, #01-, 30, KRETA AYER HEIGHTS, 080333"
AS19M00003,IVEN BETTA,"9, KING ALBERT PARK, #02-, 15, KAP, 598332"
AS20A00011,JAMES BIRD SHOP,"251, CHANGI ROAD, LEVEL 1, 419743"
AS22G00041,JARDIN DE PAWS,"170, EAST COAST ROAD, #01-, 00, 428876"
AS23D00021,JC AQUATIC TRADING PTE. LTD.,"80, CHANGI ROAD, #02-, 72, CENTROPOD @ CHANGI, 419715"
AS02K1276,JUNGLE LITTLE LAND,"463, JURONG WEST STREET 41, #01-, 584/6, 640463"
AS21K00056,JUST BETTA,"430, UPPER CHANGI ROAD, #01-, 92, EAST VILLAGE, 487048"
AS16J00028,JZXONLINE,"68, JALAN JURONG KECHIL, #01-, 36, SUITES AT BUKIT TIMAH, 596180"
AS86M0480,K&K AQUARIUM & BIRD CENTRE,"201D, TAMPINES STREET 21, #01-, 1145, 524201"
AS03G1411,K1 PETS SHOP,"84, BEDOK NORTH STREET 4, #01-, 09, 460084"
AS04C1483,KELSONBETTA,"50, EAST COAST ROAD, #02-, 20, ROXY SQUARE 1, 428769"
AS17M00003,KEOW SONG BIRDS' TRADING,"509, BEDOK NORTH STREET 3, #01-, 145, 460509"
AS95M0624,KOHAKU AQUARIUM AND FISHING ACCESSORIES,"416, BEDOK NORTH AVE 2, #01-, 19, 460416"
AS22F00035,KS CARLOS AQUARIUM,"100, JALAN SULTAN, #01-, 15, SULTAN PLAZA, 199001"
AS17B00012,KS PETS HUB,"716, YISHUN STREET 71, #01-, 276, 760716"
AS22F00034,KW SHRIMPS,"3, SOUTH BUONA VISTA ROAD, #B1-, 44, VIVA VISTA, 118136"
AS19K00051,KWONG FATT PETS CENTRE,"532, ANG MO KIO AVENUE 10, #01-, 2487, CHENG SAN CENTRE, 560532"
AS80M0319,LAKE VIEW AQUARIUM,"8, EUNOS CRESCENT, #01-, 2671, 400008"
AS22B00019,LAVISH PET CENTRE LLP,"1, ROCHDALE ROAD, LEVEL 1, 535814"
AS23A00009,LE PETS KINGDOM PTE. LTD.,"784, UPPER BUKIT TIMAH ROAD, LEVEL 1, 678127"
AS09D00010,LEE AH LENG BIRD SHOP,"141, SIMS AVE, 387463"
AS17E00020,LFS AQUARIUM PTE. LTD.,"328, CLEMENTI AVENUE 2, #01-, 186, 120328"
AS18J00035,LITRAMIN FISH FOOD PRODUCTS AND COMPANY,"631, BEDOK RESERVOIR ROAD, #01-, 958, EUNOS GROVE, 470631"
AS21H00035,LITTLE BLACK NOSE,"2, JALAN LOKAM, #01-, 42, KENSINGTON SQUARE, 537846"
AS21F00025,LITTLE CATS & CO PTE. LTD.,"190, JOO CHIAT ROAD, #04-, 01, 427461"
AS23B00014,LITTLE HEROES PTE. LTD.,"1, THOMSON ROAD, #01-, 338, BALESTIER HILL SHOPPING CENTRE, 300001"
AS21B00009,LITTLE PETS KINGDOM,"928, YISHUN CENTRAL 1, #01-, 141, 760928"
AS23E00026,LITTLE PETS KINGDOM,"928, YISHUN CENTRAL 1, #01-, 145, 760928"
AS18B00011,LONG CHENG AQUARIUM,"157, ANG MO KIO AVENUE 4, #01-, 576, MAYFLOWER SHOPPING & FOOD CENTRE, 560157"
AS20K00050,M.QK SERVICES,"53, SIMS PLACE, #01-, 176A, SIMS VISTA, 380053"
AS20J00036,MADPETZ AQUATIC STUDIO LLP,"607, ANG MO KIO AVENUE 4, #01-, 1287, 560607"
AS22G00043,MADSHRIMP LLP,"50, GAMBAS CRESCENT, #10-, 20, PROXIMA@GAMBAS, 757022'"
AS23A00006,MAINECOON CATTERY SG,"183, JALAN PELIKAT, #B1-, 22, THE PROMENADE@PELIKAT, 537643"
AS21L00067,MAME PTE. LTD.,"12, FLANDERS SQUARE, LEVEL 1, 209300"
AS18B00009,MEWTANTS & WOOFS,"9, KING ALBERT PARK, #01-, 13, KAP, 598332"
AS22H00051,MIAODIALOGY PTE. LTD. - SUSPENDED,"340, GEYLANG ROAD, #01-, 30, LE REGAL, 389365"
AS15L00033,MINI PET STORE,"265, BUKIT BATOK EAST AVENUE 4, #01-, 391, 650265"
AS21J00044,MINISTRY OF PUP LLP,"43, KAMPONG BAHRU ROAD, LEVEL 1, 169359"
AS22C00024,MINISTRY OF RAY,"68, JALAN JURONG KECHIL, #01-, 37, SUITES AT BUKIT TIMAH, 596180"
AS19D00018,MINNIE'S CHINCHILLAS PTE. LTD.,"110, YISHUN RING ROAD, #01-, 385, 760110"
AS21A00008,MIRACULOUS CATCH AQUARIUM,"3, SOUTH BUONA VISTA ROAD, #01-, 27, VIVA VISTA, 118136"
AS22M00002,MOFU HOUSE,"12, JALAN SELASEH, LEVEL 1, SELETAR HILLS ESTATE, 808438"
AS23A00008,MONSTERFISH.INC,"55, CHANGI ROAD, #B1-, 14, MILLAGE, 419709"
