License Number,Pet Shop Name,Address
AS18J00036,PET LOVERS CENTRE PTE. LTD.,"1, KIM SENG PROMENADE, #01-, 60, GREAT WORLD CITY, 237994"
AS17B00010,PET LOVERS CENTRE PTE. LTD.,"17, PETIR ROAD, #B2-, 22, HILLION MALL, 678278"
AS20M00003,PET LOVERS CENTRE PTE. LTD.,"1, VISTA EXCHANGE GREEN, #01-, 14/15, THE STAR VISTA, 138617"
AS21K00063,PET LOVERS CENTRE PTE. LTD.,"163, TANGLIN ROAD, #03-, 107, TANGLIN MALL, 247933"
AS18G00026,PET LOVERS CENTRE PTE. LTD.,"1, HARBOURFRONT WALK, #03-, 03, VIVO CITY, 098585"
AS16M00004,PET LOVERS CENTRE PTE. LTD.,"83, PUNGGOL CENTRAL, #B2-, 10, WATERWAY POINT, 828761"
AS20M00005,PET LOVERS CENTRE PTE. LTD.,"20, AH HOOD ROAD, #01-, 31, ZHONGSHAN MALL, 329984"
AS04M0495,PET MART PTE LTD,"151, SERANGOON NORTH AVE 2, #01-, 79, 550151"
AS21E00022,PET MASTER,"3, SIMEI STREET 6, #01-, 26/27, EASTPOINT MALL, 528833"
AS20H00031,PET MASTER,"206, BEDOK NORTH STREET 1, #01-, 355, BEDOK CENTRAL AREA OFFICE, 460206"
AS21M00003,PET ME PLEASE SG PTE. LTD.,"48, JOO CHIAT PLACE, LEVEL 1, 427772"
AS23F00028,PET ME PLEASE SG PTE. LTD.,"509, BALESTIER ROAD, LEVELS 1 AND 2, 329848"
AS22D00028,PET OF MINE PRIVATE LIMITED,"2, RUBY LANE, LEVEL 1, 328277"
AS22E00033,PETMANIA PTE. LTD.,"233, YISHUN STREET 21, #01-, 468, 760233"
AS20L00060,PETS ATELIER PTE. LTD.,"883, BUKIT TIMAH ROAD, LEVEL 1, 279894"
AS20G00025,PETS EVERYTHING TODAY PTE. LTD.,"20, JALAN SELASEH, LEVEL 1, SELETAR HILLS ESTATE, 808442"
AS10A00009,PETS' GANTRY,"92, LORONG 4 TOA PAYOH, #01-, 276, 310092"
AS17L00042,PETS PHILOSOPHY PTE. LTD.,"230, UPPER THOMSON ROAD, LEVEL 1, THOMSON GARDEN ESTATE, 574423"
AS11E00019,PETS' STATION HOLDING PTE LTD,"1, WOODLANDS SQUARE, #B1-, 01, CAUSEWAY POINT, 738099"
AS14F00007,PETS' STATION HOLDING PTE LTD,"1, JURONG WEST CENTRAL 2, #01-, 17A/B, JURONG POINT, 648886"
AS92M0588,PETS' STATION HOLDING PTE LTD,"16A, MAJU AVENUE, LEVEL 2, 556692"
AS18J00034,PETS' STATION HOLDING PTE LTD,"681, PUNGGOL DRIVE, #01-, 02/03, OASIS TERRACES, 820681"
AS15K00027,PETS' STREET,"30, SEMBAWANG  DRIVE, #01-, 18, SUN PLAZA, 757713"
AS99C0711,PETS TALES,"46, JALAN EUNOS, 419504"
AS21H00040,PETS&CO PTE. LTD.,"160, CHANGI ROAD, #01-, 09, HEXACUBE, 419728"
AS11C00015,PETS'S KIOSK PET SALON,"154, SERANGOON NORTH AVE 1, #01-, 420, 550154"
AS21L00071,PETSVALE ANIMAL COTTAGE PTE. LTD.,"114, YIO CHU KANG ROAD, LEVEL 1, 545581"
AS23C00015,PH SE7EN AQUATICS,"151, SERANGOON NORTH AVENUE 2, #01-, 71, 550151"
AS03L1461,PICK A PET PTE. LTD.,"31A/33A, LORONG LIPUT, 277742"
AS11M00003,PICK A PET PTE. LTD.,"23, SERANGOON CENTRAL, #04-, 71, NEX MALL, 556083"
AS20M00004,PICK A PET PTE. LTD.,"1, VISTA EXCHANGE GREEN, #01-, 14, THE STAR VISTA, 138617"
AS18F00024,PICK A PET PTE. LTD.,"1, HARBOURFRONT WALK, #03-, 03, VIVO CITY, 098585"
AS17L00038,PINNACLE AQUATICS & MARINE SPECIALIST,"164, TAMPINES STREET 12, #01-, 291, 521164"
AS19J00042,PLAYGROUND CATTERY,"237B, JOO CHIAT ROAD, #03-, 01, 427494"
AS20B00016,POLYART AQUARIUM,"84, BEDOK NORTH STREET 4, #01-, 03, 460084"
AS16B00007,POLYART AQUARIUM,"265, BUKIT BATOK EAST AVE 4, #01-, 385, 650265"
AS16M00001,POLYART AQUARIUM,"328, CLEMENTI AVE 2, #01-, 194, 120328"
AS18M00003,POLYART AQUARIUM,"4, SAGO LANE, #01-, 127, 050004"
AS14L00103,POLYART AQUARIUM,"934, YISHUN CENTRAL 1, #01-, 51/53, 760934"
AS20J00038,POLYART TRADING & SERVICES,"4, SAGO LANE, #01-, 115, KRETA AYER HEIGHTS, 050004"
AS14G00013,POOCH'S IMAGE,"119, UPPER EAST COAST ROAD, #01-, 01, 455244"
AS22G00045,POSEIDON AQUATICS PTE. LTD.,"1, JALAN DUSUN, #01-, 29, ONE DUSUN RESIDENCES, 329363"
AS23M00004,POSEIDON AQUATICS PTE. LTD.,"1, JALAN DUSUN, #01-, 21, ONE DUSUN RESIDENCES, 329363"
AS23F00031,POSEIDON AQUATICS PTE. LTD.,"71, CARPMAEL ROAD, LEVEL 1, 429806"
AS23E00027,PRIORITY PET SERVICE PTE. LTD.,"592D, BALESTIER ROAD, LEVEL 1, 329902"
AS20L00062,PROPET,"21, KALIDASA AVENUE, LEVEL 1, TEACHER'S HOUSING ESTATE, 789400"
AS23D00022,PUPPY KINGDOM PTE. LTD.,"3, JALAN ANAK BUKIT, #01-, 01, SHERWOOD TOWERS, 588998"
AS20K00054,PURRFECT MEOWS,"3, SOUTH BUONA VISTA ROAD, #B1-, 62, VIVA VISTA, 118136"
AS22J00061,PUSHEENLAND,"1, MARNE ROAD, #01-, 26, THE CITRON, 208380"
AS22M00004,Q CATTERY PTE. LTD.,"80, CHANGI ROAD, #01-, 39, CENTROPOD @ CHANGI, 419715"
AS87M0519,QUE FENG BIRD & PET TRADING ENTERPRISES,"154, SERANGOON NORTH AVE 1, #01-, 410, 550154"
AS07H00051,QUE FENG BIRD & PET TRADING ENTERPRISES,"2, LIM TUA TOW ROAD, LEVEL 1, 547710"
AS22G00040,RAKU INU PTE. LTD.,"90, JALAN SENANG, LEVEL 1, 418461"
AS23M00002,REEF MONSTER PTE. LIMITED,"183, JALAN PELIKAT, #01-, 01, THE PROMENADE@PELIKAT, 537643"
AS16J00032,REEFING REALITY,"17, DAIRY FARM ROAD, #B1-, 03, THE DAIRY FARM, 679043"
AS21K00052,REEFMARKETSG PTE. LTD.,"108, OWEN ROAD, LEVEL 1, OWEN COURT, 218915"
AS21K00065,RES PARADISE,"151, SERANGOON NORTH AVENUE 2, #01-, 73, 550151"
AS20K00052,RF AQUARIUM,"321, HOUGANG AVENUE 5, #01-, K1, 530321"
AS17H00029,RHQ RABBITHEADQUARTERS LIMITED LIABILITY PARTNERSHIP,"48, JALAN LIMBOK, LEVEL 1, NANYANG PARK, 548729"
AS23A00005,ROOM 194,"194, KIM KEAT AVENUE, #01-, 392A, KIM KEAT VIEW, 310194"
AS22L00068,ROYALE CRAY SPECIALIST 2,"200, TURF CLUB ROAD, #02-, 01B, THE GRANDSTAND, 287994"
AS07F00035,SAN SOON PETS SHOP,"114, ANG MO KIO AVE 4, #01-, 353, 560114"
AS12D00015,SCRUFFIEZ,"123, HOUGANG AVE 1, #01-, 1422, 530123"
AS19H00039,SEA LIFE AQUARIUM,"78, INDUS ROAD, #01-, 481, INDUS GARDEN, 161078"
AS21J00047,SEASONAL AQUARIUM PTE. LTD.,"443, ANG MO KIO AVENUE 10, #01-, 1233, 560443"
AS19D00021,SEVEN STAR AQUARIUM,"253, CHOA CHU KANG AVENUE 1, #01-, 27, KEAT HONG SHOPPING CENTRE, 680253"
AS22H00053,SGCATHOUSE,"228, CHANGI ROAD, #B1-, 12, ICON@CHANGI, 419741"
AS22B00012,SHAKE-A-PAW PTE. LTD.,"631, BALESTIER ROAD, LEVEL 1, 329918"
AS22J00056,SHEPHERD & HOUND,"3, SOUTH BUONA VISTA ROAD, #01-, 06, VIVA VISTA, 118136"
AS20H00032,SHRIMP HUB,"354, CLEMENTI AVENUE 2, #01-, 197, CLEMENTI AVENUE 2 SHOPPING CENTRE, 120354"
AS22M00001,SHRIMP SANCTUARY AQUATIC,"68, JALAN JURONG KECHIL, #01-, 20, SUITES AT BUKIT TIMAH, 596180"
AS19H00037,SHRIMPS AFFAIR PTE. LTD.,"801, FRENCH ROAD, #01-, 37, 200801"
AS23C00019,SHUNXIN PET CARE PTE. LTD.,"2, TAI THONG CRESCENT, #01-, 17, THE VENUE SHOPPES, 347836"
AS18A00010,SIAMESEFISH SINGAPURA,"228, CHANGI ROAD, #B1-, 10, ICON@CHANGI, 419741"
AS16J00033,SILKY INTERNATIONAL HOLDINGS PTE. LTD.,"46, JALAN LIMBOK, NANYANG PARK, 548728"
AS19F00033,SIMPLY AQUATICS,"5, EVERTON PARK, #01-, 34, 080005"
AS21J00049,SINGAPORE PARADISE AROWANA,"1, WEST COAST DRIVE, #01-, 60, NEWEST, 128020"
AS22G00042,SINMA GLOBAL PTE. LTD.,"658, GEYLANG ROAD, LEVEL 1, 389588"
AS22B00014,SMALL MEDIUM LARGE JIAO,"48, JALAN EUNOS, LEVEL 1, 419506"
AS21K00051,SOMETHING FISHY,"308, TELOK KURAU ROAD, #01-, 27, VIBES @ EAST COAST, 423858"
AS00J0792,SONG BIRD'S CENTRE,"84, BEDOK NORTH STREET 4, #01-, 31, 460084"
AS08D00016,SOO KEE KENNEL,"625, BALESTIER ROAD, 329915"
AS17G00028,SPECIALISED AQUATICS SOLUTIONS PTE. LTD.,"19, ANAMALAI AVENUE, #01-, 01, 279987"
AS17G00026,SPOTZETTE BENGAL,"228, CHANGI ROAD, #B1-, 07, ICON@CHANGI, 419741"
AS23F00032,STAR WOOF INN PTE. LTD.,"6, RUBY LANE, LEVEL 1, 328281"
AS23F00030,STARLIGHT CATTERY,"511, GUILLEMARD ROAD, #02-, 26, GRANDLINK SQUARE, 399849"
AS17A00005,SUNBEAM AQUARIUM (PTE) LTD,"9, CHENCHARU LINK, LEVEL 1, 768147"
AS22L00067,SUPERCOON,"3, SOUTH BUONA VISTA ROAD, #B1-, 63, VIVA VISTA, 118136"
AS22B00013,SUPERDOGS PTE. LTD.,"506, MACPHERSON ROAD, LEVEL 1, 368206"
AS20B00015,SUPREM3 CORALS PRIVATE LIMITED,"114, JURONG EAST STREET 13, #01-, 402, JURONG EAST VILLE, 600114"
AS20L00061,SUPREM7 CORALS,"2, JALAN LOKAM, #01-, 15, KENSINGTON SQUARE, 537846"
AS01J0856,SYSTEM & CONTROL ENGINEERING COMPANY,"22, BOON KENG ROAD, #01-, 23, 330022"
AS80M0316,TAN AQUARIUM,"14, BEACH ROAD, #01-, 4671, 190014"
AS20L00063,TCL DISCUS,"55, CHANGI ROAD, #B1-, 06, MILLAGE, 419709"
AS21L00075,TECK WHYE AQUARIUM,"26, TECK WHYE LANE, #01-, 196, 680026"
AS00A0748,TECK WOON AQUARIUM,"26, TECK WHYE  LANE, #01-, 194, 680026"
AS02F1066,THAT AQUARIUM,"618, YISHUN RING ROAD, #01-, 3236, 760618"
AS16L00045,THAT AQUARIUM 2 PTE LTD,"282 & 284, CHANGI ROAD, LEVEL 1, 419761"
AS19M00002,THAT AQUARIUM 3 PTE. LTD.,"328, CLEMENTI AVENUE 2, #01-, 198, 120328"
AS22B00018,THE BETTA COLLABORATION PRIVATE LIMITED,"39, CHAI CHEE AVENUE, #01-, 219, 461039"
AS20K00044,THE BURROW LLP,"21, JASMINE ROAD, LEVEL 1, ADELPHI PARK ESTATE, 576587"
AS21F00024,THE LITTLEST THINGS PTE. LTD.,"80, CHANGI ROAD, #02-, 12, CENTROPOD @ CHANGI, 419715"
AS22M00003,THE OASIS SG PTE. LTD.,"6, TAMPINES STREET 92, #01-, 08, YO:HA@TAMPINES, 528893"
AS20K00055,THE PET RESEARCH OUTPOST,"51, CHIN SWEE ROAD, #02-, 75, 160051"
AS21K00054,THE PUP LIFE PTE. LTD.,"496, MACPHERSON ROAD, LEVEL 1, 368201"
AS21H00036,THUNDERBOY PTE. LTD.,"142, LORONG AH SOO, #01-, 237, 530142"
AS16B00009,TIAN CHAI,"608, ANG MO KIO AVENUE 5, #01-, 2783, 560608"
AS18J00038,TIAN CHAI 181,"181, ANG MO KIO AVENUE 5, #01-, 2938, KEBUN BARU LINK 2, 560181"
AS22J00060,TIARA PETS (SG) PTE. LTD.,"266A, JOO CHIAT ROAD, LEVEL 2 AND ATTIC, 427520, *"
AS20J00041,TJ AQUATIC,"56, NEW UPPER CHANGI ROAD, #01-, 1296, 461056"
AS22F00038,TOH AQUARIUM PTE. LTD.,"63, KALLANG BAHRU, #01-, 423/425, KALLANG BAHRU VILLE, 330063"
AS22L00069,TRIDENT PETS PTE. LTD.,"608, ANG MO KIO AVENUE 5, #01-, 2793, 560608"
AS22G00044,TRULY DOLLS PTE. LTD.,"73, KAMPONG BAHRU ROAD, LEVEL 2, 169374"
AS23B00011,TT PETS,"3, SOUTH BUONA VISTA ROAD, #B1-, 24, VIVA VISTA, 118136"
AS22D00026,UNCLE LIM'S DISCUS AQUARIUM,"68, JALAN JURONG KECHIL, #01-, 21, SUITES AT BUKIT TIMAH, 596180"
AS21G00032,UNEED AQUARIUM,"144, TECK WHYE LANE, #01-, 201, 680144"
AS22K00062,URBAN SHRIMPS LLP,"603, ANG MO KIO AVENUE 5, #01-, 2671, YIO CHU KANG GREEN, 560603"
AS18G00027,VEEN IMPEX TRADING,"681, PUNGGOL DRIVE, #01-, 36, OASIS TERRACES, 820681"
AS21F00028,VEEN IMPEX TRADING,"399, YUNG SHENG ROAD, #01-, 08, TAMAN JURONG SHOPPING CENTRE, 610399"
AS21H00042,VEEN IMPEX TRADING,"118, RIVERVALE DRIVE, #02-, 22, RIVERVALE PLAZA, 540118"
AS20J00033,WAG A TAIL PTE. LTD.,"241, JOO CHIAT ROAD, LEVEL 1, 427498"
AS13H00026,WELLFOND PETS PTE. LTD.,"328, TANJONG KATONG ROAD, LEVEL 1, 437105"
AS15A00001,WELLFOND PETS THOMSON LIMITED LIABILITY PARTNERSHIP,"197, UPPER THOMSON ROAD, YEW LIAN PARK, 574341"
AS19K00050,WILDBOAR^FISHROOM,"68, JALAN JURONG KECHIL, #01-, 14, SUITES AT BUKIT TIMAH, 596180"
AS75M0199,WONG LOY KEE AQUARIUM STORE,"4, SAGO LANE, #02-, 119, 050004"
AS05H1528,WONG LOY KEE AQUARIUM STORE,"4, SAGO LANE, #02-, 109, 050004"
AS22K00063,WT COOLING PTE. LTD.,"105, DESKER ROAD, LEVEL 2, 209627"
AS22J00059,XI MEOW PET PTE. LTD.,"80, CHANGI ROAD, #02-, 68, CENTROPOD @ CHANGI, 419715"
AS04B1465,XING XING AQUARIUM,"291, YISHUN STREET 22, #01-, 395, 760291"
AS08C00014,YAN PET & AQUARIUM,"280, BUKIT BATOK EAST AVE 3, #01-, 335, 650280"
AS21L00070,YASAM BETTA LLP,"160, CHANGI ROAD, #01-, 11, HEXACUBE, 419728"
AS20L00057,YJH TRADING,"1, WEST COAST DRIVE, #01-, K14, NEWEST, 128020"
AS21K00064,YOURS SHRIMPLY PTE. LTD.,"11, SIN MING ROAD, #01-, 26, THOMSON V TWO, 575629"
